audio_file,speaker,language,duration,text,source_file
wavs/lk_0001_business_question.wav,lk,english,138.02,"Purchase decision. Purchase decision. Who is handling the purchase, sir? Purchase. This is it. Who is looking to purchase all these things? Is the IT team separate or is the admin team looking? Can i know the concerned person name? Can I get their number? If you give their number, I will directly talk to you. I will not disturb you, sir. I am not calling to disturb you. If you just say your number, I do not have any problem. I will call them directly. We will see what you need. We will deliver it correctly to your office location. It will be good if you share the correct person's information. Conference room, do you need a TV? Do you need a commercial display? To train your employees and your workers? Yes. Workers will be able to understand far more clearly watching the demo on TV, you will be able to share more information. If somebody shows you a TV with a full screen you will get a good idea of it. For that you can use our TV. It is good to use a commercial display everyday. You can take a normal TV for simple viewing, it will be very enough. The TV we use at home will be useful for you. Simple video conferencing, video talk, talking in zoom will be done in a simple TV. You can use the commercial display for a long time. If you have any requirement, please share it. I will suggest a suitable model for you. I will tell you the rate too. Please take care of it. Thank you very much sir.",business_question.wav
wavs/lk_0002_emotion.wav,lk,english,76.68,"Okay sir, okay sir. Very good sir. Thank you very much sir. I will do it like that sir. I can understand sir. I can understand sir. I understand sir. I will check carefully and tell you sir. It's okay sir. We will see sir. When you are free, there is no problem. If you want to use normal TV heavily, I will not recommend it to you. You have to go to commercial TV. It's not advisible working for a long time or hours. But it will give you problems in the long term sir. Normal TV. It will be a headache sir. Take care of it. If you buy a TV for room size, it will be good for you. It will be like watching TV. Experience. It will be good. Experience will also be good. So, if you say room size correctly, it will be very good. I will send the details. When you get time, see it. There is no problem. See it patiently sir. Thank you very much sir. Greetings.",emotion.wav
wavs/lk_0003_explain.wav,lk,english,251.52,"Okay, I will explain it in a simple way, so if you are in a boardroom or a video conferencing room where people talk to a computer picture, like they put the camera in front of them and start talking and the other person also speaks in front of the camera. But you see the person on the other side of the camera, you need a display for that type of room or that type of boardroom or you need a touch screen on which you want to show a presentation, you want to show a PPT. So for that type of boardroom arrangement, you can take a camera from us, you can take a display size from us, which is 32 inches. You can take a camera from us, you can take a display size from us, which is 32 inches. You can take a camera from us, you can take a display size from us, which is 32 inches. But the thing is, what is the size of your room, how big is the room, how small is the room, it depends a lot. If the room is small, a small TV will be useful for you, but there is also a different warranty for different TVs. Different TVs have different display brightness levels with their displays. daily use hours, how much is your daily use hours, how long do you meet, then according to that, we will suggest you a product, we will give you advice, just choosing is your job, we help Samsung to sell their products, we will give you the whole service of Samsung, we are just in their shipping, their logistics and their market coverage. In short, they are completely committed to their business. For a small meeting room, a 55 inch or 65 inch screen will be too much. Because this is necessary for the meeting, you can show ppt in it, you can run an explainer, you can explain to people, you can keep the team motivated, you can fill it with energy, you can run a motivation video. You can keep the team motivated, you can run a motivation video. A small thing, a phone, you can make a call, with which the team feels like working, this can also be used in the confidence form too, such as a 55-inch TV or a 55-inch TV will be best for you. It will be a very good decision for you, in my opinion, you please sign up once that you will be very much about youriner, you will have a lot of passion from this that you will become your team everybody will appreciate, In case of signage, the requirement is a little different, the display has to run for many hours every day, so the commercial display is more reliable than a normal TV, so I would like to tell you that you can choose a commercial display because if you run a normal display for more than 3-4 hours, it will get damaged quickly. My suggestion is that first of all, the usage, what you have to use, how to use it, what kind of room you have to use, if I understand all this well, then it will be easy to decide the model, us and you too, I will be able to recommend you the right product, the right product, this will save you money and in the future there will be some problems. You will not think that I have taken such a useless thing, it has fallen on my head, let's meet, thank you.",explain.wav
wavs/lk_0004_expressive.wav,lk,english,65.96,okay so I'm happy to help let me check and I'll get back to you hmm I understand your concern please do not worry we'll handle it we'll handle it this option will be more reliable for your use case may I call you back tomorrow if you're if you're okay sorry very sorry for the delay sir thank you very much for your patience could you please explain the requirement one more time if you don't mind I'll send the quotation so I'll send the quotation but today evening no problems or no problem we'll discuss it next week have a good day sir peace out have a beautiful day have a very beautiful day have an extremely nice day thank you very much tata bye bye,expressive.wav
wavs/lk_0005_expressive1.wav,lk,english,202.97,"Let's get started, so what I was saying is very good, sir, very simple, good, good, is it like that, I understood, sir, I understood, then we should check a little carefully, no problem, no problem, no problem, sir, you look at it calmly, take your full time, take your full time and then come back, we will definitely help you. We will definitely help you, you will get the right stuff, we don't need anything else, our life will be successful in this, heavy usage, heavy usage, I will not recommend normal TV for you, because 8 to 10 hours TV does not work in your house, normal TV does not work for 8 to 10 hours, 8 to 10 hours only works in shops, because they give their stuff, then they give you what? Then in insurance companies. It's very difficult, but if there is no insurance insurance companies, there are no hurry tour, then I do not see anyone. Even so with this, it is primary sports, then it is a canopy is necessary. People come and go and they do not see things. How do you sell the stuff? Then this kind of TV is made separately. It is expensive, but it is the whole work and will sell your things, so let him do that. This is the purpose of them. The house in which the TV runs for 2 to 4 hours, it will run daily for 8 hours a month. The first thing is that it will not work and the second thing is that it is good for the angle of the house. There is not much light in the house. In your shop, there are 4-5 bulbs in a small place because your shop should be bright. That's why Laxmi will come. So for that kind of place, you need a different kind of display. So there is a separate TV for that. So I will definitely tell you that. If you tell me the approximate size of your room, then I will tell you the screen size. Which screen size you can take, like 32 inches or 43 inches, 55 inches. The size of your room. As an example, you have a TV and a place to sit more than 6 to 7 inches. Suppose you sit 6 to 7 inches away from your TV, then 32 to 43 inches is enough for you. But if you are 9 inches or more, then you need 43 inches. Or 9 to 12 inches. If your house is big and your heart is very big, then you can go with 55 inches. But your heart should not be big and your pocket will also be a little more expensive. So you will have to see all this. I will send you the details. You don't have to worry. You can see whenever you are free. We have no problem.",expressive1.wav
wavs/lk_0006_gags.wav,lk,english,63.71,"Just like they don't beat you up for a loan, the same kind of vouchers are there. And give it to Dhanadan. Give it to Dhanadan and he'll give it to you. What about the stuff? Even if the stuff is bad, that's why you called me.",gags.wav
wavs/lk_0007_intro.wav,lk,english,283.89,hello my name is lukish kumar and i'm telling you from yexis Electronics we are a very uh known regional distributor for samsung products from samsung from chennai and we also distribute commercial displays signage boards video walls and monitors and some other products uh our televisions and some air conditioning solutions which includes hvac and and signage boards which i mentioned earlier and a few other commercial products as well which samsung makes we are like uh uh what i was saying uh i mean to say is this a good time to speak with you and this will take hardly more hardly a minute it i'll keep it very brief so i just want to make you understand whether you have any current or future requirements for displays signage video also professional monitors are currently using are you currently using some samsung products in your office your factory or your business place or do you need one so if you don't need anything no problem at all that's completely understandable uh i'm fine with it uh okay so i can send you a short profile of our company on any of the communication channels you like we prefer whatsapp or email whatsapp keep us in sync uh let's uh it lets us connect easily and keeps our life easy the communication is very clear uh email is also fine if you prefer a business look of it uh if you want it to be professional we can also meet uh we we prefer meeting in person at at your place to understanding and to understand your requirements uh let's be very clear that we use your email address and the whatsapp details to give you products to communicate with you and not do anything else which you hopefully understand so that's great thanks for the time and i really appreciate it hope you have a great day peace out okay so let's do some natural questions which appear in our minds yeah may i know who handles purchase decisions in your company is there a separate id team for monitors for display for keyboards and the whole work what is that called workstation set up i believe that is what it is called but anyways could you please connect me with the concerned peace person or if you don't mind can you share the name and the contact details that would be of great help uh if i'm not calling to disturb you um i only want to share the right information with the right person and not waste anyone else time uh if you need televisions for conference rooms for meeting rooms for reception areas for like what is that called video conferencing kind of stuff we can make everything we also have our partners uh for video conferencing like jabra harmon and carden who are uh who i believe are the parents of samson maybe they are parent concern or sister concern of samson as a company,intro.wav
wavs/lk_0008_intro1.wav,lk,english,121.27,"Vanakkam Vanakkam Sir Good morning good morning How are you? How are you sir? I believe you are doing great My name is Lokesh I am from Yexis We are regional distributors for Samsung products Can we talk for a minute? Do you have some time? I know you are very busy But I will finish my work in 1-2 minutes I will not take much time I will be brief If you are working in your office, factory or company If you have any company If you are using display, sign board, video wall I believe you are using this You will definitely use monitor Because you have to do this In this era You need TV and AC Because in China If you are using AC You can't work There is no peace Without peace Work will not happen So I will not talk much I will be brief If you have any requirement If you need anything Please let me know I will not I will send you company details in whatsapp If you need it in email I will send it to you I don't have any problem If you give correct email id It will be good Is this your whatsapp number? Or is your whatsapp another number? Or do you need another number in whatsapp? Please let me know If whatsapp is another number Please let me know I will definitely send it to you Thank you very much sir Thank you for your time",intro1.wav
wavs/lk_0009_intro2.wav,lk,english,104.18,"Namashkaar Shubh Shubh Sawery Kaise hai aap Mai Lukesh baat kar raha hu Yexis Electronics Kaise chal raha hai aapka Mai Samson ki Regional Distributor Mai Regional Distributor hu Samson ka Kya abhi aap se ek minute baat ho sakte I will not take much of your time, just 1 to 2 minutes, if you need it, we will move forward, otherwise, it's okay, you focus on your business, I just want to understand that in your office or company or any factory, any display, any signage board or any video wall or any up market, you must be using a monitor, or you must be feeling hot, then you must be needing AC, if you need something like this, if you need something like this, if there is any requirement, then tell us, we will help you completely, to fulfill your needs, I will send you my company profile on WhatsApp or email, whatever you understand correctly, you tell your email ID, we will send you, you tell me your email ID, thank you sir, thank you, your day is good, goodbye, thank you.",intro2.wav
wavs/lk_0010_intro3.wav,lk,english,326.41,"Hello Sir, Good Morning. How are you? How are you? My name is Lokesh Ba and I am Bani and I am Padi. My name is Lokesh Padi and I am working with Yexis Electronics. I am a regional distributor of Samsung products. I would like to talk to you for a minute. I would like to take a minute. I don't want to take more time from you. Don't worry. I don't want to take more time from you. But I want to talk to you for a minute. I would like to talk to you for a minute. What does this mean? I would like to talk to you for a minute. I would like to talk to you for a minute. This sounds so weird. Yes. Everyone there knows Bajpuri. What does this mean? We just want to know that in Rawa's office or factory, we need a sign board. Video wall, monitor, TV, AC. We don't need anything. That's what the company said. Yes. TV, AC. Yes. We will get the facilities. We will get the smuggled. We will get the facilities. We are looking for facilities. Now what will become of the requirement? It will become a requirement. Then the requirement will be a requirement. If it is not a requirement now, then it will become a requirement. so no problem so tell me yes yes this is very important that this is honey or other honey sometimes other honey and which one is more active yes this is very 100 honey company we are doing for fun in Bhojpuri people people don't have 10 rupees to eat paan but if you talk in Bhojpuri it will be fun slowly when someone abuses or says something like that then only it feels like",intro3.wav
