lk_0001_tamil_business_question_001|பர்ச்சேஸ் டிசிஷன், பர்ச்சேஸ் டிசிஷன், யார் ஏதோ அழுதுகிட்டு பார்க்கிறாங்க ஐயோ.
lk_0001_tamil_business_question_002|பிரச்சினை இதுதானா இந்த ப்ராடக்ட்ல?
lk_0001_tamil_business_question_003|ஏனென்று அவர் கேட்க, நான் வரக்கூட இல்லை என்கிறேன். உங்களை டைமிற்கு காணவே இல்லை சார். டைமிற்கும் காலிற்கும் இரண்டும் வேண்டும். நீங்கள் இதை இப்படி கூறினால், நீங்கள் மனதில் என்ன நினைப்பீர்கள்?
lk_0001_tamil_business_question_004|எனக்கு எந்தப் பிரச்சினையும் இல்லை. நான் உங்களுக்கு அழைத்து பேசிவிட்டேன். உங்களுக்கு உங்களுக்கு என்ன தேவை என்பதைப் பார்த்துக்கொள்ளுங்கள். அதை நாங்கள் உங்களுக்கு ரெடி பண்ணித் தருகிறோம். உங்களுக்கு அது உதவியாக இருக்கும்.
lk_0001_tamil_business_question_005|தயவுசெய்து என்னுடைய இன்ஃபர்மேஷனை மட்டும் கொஞ்சம் செக் பண்ணிப் பார்த்தீர்கள் என்றால் நன்றாக இருக்கும். கான்பரன்ஸ் ரூமிற்கு உங்களுக்கு டிவி தேவையா அல்லது கமர்ஷியல் டிஸ்ப்ளே ஏதாவது வேண்டுமா?
lk_0001_tamil_business_question_006|உங்களுடைய முதல் சாட்டில் உங்களுடைய கம்பெனியில் என்ன யூஸ் செய்கிறீர்கள்?
lk_0001_tamil_business_question_007|டிவியைப் பார்த்து நாம் வாய்மொழியாகச் சொல்வதை விட, அவர்களுக்கு டிஸ்ப்ளே செய்து காட்டினால், யாராக இருந்தாலும் மிகவும் சீக்கிரமாக, மிகவும் ஈஸியாகப் புரியும். இந்த மாதிரி நீங்கள் பயன்படுத்திக்கொள்ளலாம்.
lk_0001_tamil_business_question_008|நீங்கள் ஒரு டிவியை யூஸ் பண்ணிக்கலாம். எங்க டிவியை நீங்கள் யூஸ் பண்ணிக்கலாம். டெய்லி ரொம்ப நேரம் கமர்ஷியல் டிவியை யூஸ் பண்ணுவதற்கு நல்லா இருக்கும்.
lk_0001_tamil_business_question_009|சிம்பிளாக வியூ செய்துகொண்டிருக்கும் மானிட்டர்தான்.
lk_0001_tamil_business_question_010|சிம்பிளாக வியூ பண்ணி விவரம் எடுத்துக்கலாம். எந்தப் பிரச்சினையும் இல்லை. நாங்கள் எல்இடி வால் கூட பிட் பண்ணித் தருகிறோம். அது உங்களுக்கு எல்இடி வால் ஆக இருக்கும்.
lk_0001_tamil_business_question_011|இப்போது சிம்பிளான வீடியோ கான்பரன்சிங்கிற்கு, வீடியோ கான்பரன்சிங்கில்
lk_0001_tamil_business_question_012|வீடியோ கான்பரன்ஸ், வீடியோ கான்பரன்சிங், ஜூம்-இல் பேசுவது, அதெல்லாம் உங்களுக்கு சிம்பிளாக முடிந்துவிடும்.
lk_0001_tamil_business_question_013|சிம்பிள் டிவியில, கமர்ஷியல் டிஸ்ப்ளேல, நீங்கள் இந்த மாதிரி, பேசிக்காக, மிக நீண்ட நேரம் நீங்கள் அந்த கமர்ஷியல் டிஸ்ப்ளேவை யூஸ் பண்ணிக்கலாம்.
lk_0001_tamil_business_question_014|விவரம் எடுத்துக்கொள்ளலாம். உங்களுக்கு ஏதாவது தேவை இருந்தால் நான் இதை ஹைலி ரெகமண்ட் பண்ணுவேன்.
lk_0002_tamil_emotion_001|சரி சார், சரி சார், ரொம்ப நல்லா இருக்கு சார், ரொம்ப சந்தோஷம். அப்படியே சரி சார், அப்படியே செய்கிறேன் சார். நான் தான் தெரிந்து கொள்ள வேண்டும்.
lk_0002_tamil_emotion_002|நான் தான் தெரிந்து கொள்ள வேண்டும், புரியுது. ஐயோ ஐயோ ஐயோ! நான் பார்த்துக்கிறேன் சார், செக் செய்து சொல்கிறேன். ஐயோ ஐயோ, பரவாயில்லை, ஐயோ ஐயோ பார்க்கலாம். ஐயோ நீங்கள் ஏன் முகம் சுளிக்கிறீங்க, பாருங்க.
lk_0002_tamil_emotion_003|எந்த பிரச்சினையும் இல்லை. ஏகப்பட்ட வேலைகளைச் செய்ய வேண்டிய நிலையில் நான் இருக்கிறேன். நீங்கள் தான் வந்து பார்த்து, எந்த நிலையில் பொருள் இருக்கிறது, அது சரியாக வருகிறதா என்று பார்க்க வேண்டும். எனக்கே பிரச்சனைகள் எல்லாம் தீரட்டும்.
lk_0002_tamil_emotion_004|ஒரே தலைவலியாக இருக்கிறது. நீங்கள் மாற்றிக் கொடுங்கள். ரூம் செட்டப் பண்ணி சொன்ன மாதிரி நீங்கள் டிவி எடுத்தீங்களா?
lk_0002_tamil_emotion_005|உங்களுக்கு நல்லா இருக்கும், டிவி பார்ப்பதற்கு நிறைய பேர் இருக்காங்க, எக்ஸ்பீரியன்ஸ் நல்லா இருக்கும், அனுபவம் நல்லா இருக்கும். அதனால்தான் கரெக்டான சாய்ஸை சூஸ் பண்ண வேண்டும் என்று நான் சொன்னேன்.
lk_0002_tamil_emotion_006|மிகவும் இதுவாக இருக்கும். நீங்கள் நேரில் வந்து பாருங்கள். எந்த பிரச்சினையும் இல்லை. பொறுமையாவே பாருங்கள் சார். மிக்க நன்றி ஐயா, வணக்கம். [1] 
lk_0003_hindi_explain_001|अच्छा जी, मैं सिंपल तरीके से आपको विस्तार में एक्सप्लेन कर देता हूँ। तो ऐसा है, अगर आपको बोर्डरूम के लिए, या कोई वीडियो कॉन्फ्रेंसिंग के रूम के लिए चाहिए, जहाँ लोग कंप्यूटर वाले सिस्टम से बैठकर,
lk_0003_hindi_explain_002|जैसे बात करते हैं, जैसे कैमरा सामने रख लेते हैं और बोलना शुरू कर देते हैं और दूसरी तरफ का आदमी भी कैमरे के सामने बोलता है।
lk_0003_hindi_explain_003|आपको कैमरे के दूसरी तरफ का आदमी दिखता है, उस तरह के रूम, उस तरह के बोर्डरूम के लिए डिस्प्ले चाहिए आपको...
lk_0003_hindi_explain_004|या कोई टचस्क्रीन चाहिए जिस पे आप कोई प्रेजेंटेशन दिखाना चाहें, कोई PPT दिखाना चाहें। तो उस तरह के बोर्डरूम के लिए...
lk_0003_hindi_explain_005|आप हमसे कैमरा ले सकते हैं, हमसे कोई डिस्प्ले साइज़ जो बत्तीस इंच या बयालीस इंच का हो। पर इसमें बात ऐसी है कि आपके रूम की साइज़ क्या है? आपका कितना बड़ा रूम है, कितना छोटा रूम है?
lk_0003_hindi_explain_006|यह बहुत ज़्यादा निर्भर करती है। छोटा रूम है तो छोटी टीवी से काम बन जाएगा आपका।
lk_0003_hindi_explain_007|और यह बात भी है कि वॉरंटी अलग-अलग टीवी की अलग-अलग वॉरंटी है। अलग-अलग टीवी की अपनी डिस्प्ले के साथ अलग-अलग डिस्प्ले ब्राइटनेस लेवल होती है।
lk_0003_hindi_explain_008|और डेली यूज़ेज़ कितने घंटे की है, यह भी आप बता दीजिएगा। कितनी देर आप मीटिंग करते हैं, तो उसके हिसाब से हम आपको प्रोडक्ट सजेस्ट कर देंगे।
lk_0003_hindi_explain_009|सुझाव देंगे, बस चुनना आपका काम है। हम सैमसंग के लिए मदद करते हैं कि उनकी चीज़ें बिकें। हम आपको पूरी सर्विस सैमसंग की देंगे, हम बस उनके शिपिंग, उनके लॉजिस्टिक्स और उनके मार्केट कवरेज बढ़ाने में
lk_0003_hindi_explain_010|पूरी लगन से लगे हुए हैं। छोटी मीटिंग रूम के लिए, 55 इंच या 65 इंच स्क्रीन बहुत ज़्यादा हो जाएगा।
lk_0003_hindi_explain_011|अब क्योंकि मीटिंग के लिए ज़रूरत है आपको, इस वजह से
lk_0003_hindi_explain_012|आप खुद ही इसे मॉनिटर या स्क्रीन कह सकते हैं।
lk_0003_hindi_explain_013|जिससे टीम को काम करने में मन लगे, यह कॉन्फ्रेंस रूम में भी यूज़ हो सकता है।
lk_0003_hindi_explain_014|आपके लिए बेहतरीन होगा यह...
